Catálogo de aduanas (tomado                                                                               
  Fecha inicio de vigencia                         Fecha fin de vigencia                         Versión            Revisión           
          1/1/2017                                                                                 1.0                  0              
                                                                                                          
          c_Aduana                                      Descripción                                       
             01             ACAPULCO, ACAPULCO DE JUAREZ, GUERRERO.                                       
             02             AGUA PRIETA, AGUA PRIETA, SONORA.                                             
             05             SUBTENIENTE LOPEZ, SUBTENIENTE LOPEZ, QUINTANA ROO.                           
             06             CIUDAD DEL CARMEN, CIUDAD DEL CARMEN, CAMPECHE.                               
             07             CIUDAD JUAREZ, CIUDAD JUAREZ, CHIHUAHUA.                                      
             08             COATZACOALCOS, COATZACOALCOS, VERACRUZ.                                       
             11             ENSENADA, ENSENADA, BAJA CALIFORNIA.                                          
             12             GUAYMAS, GUAYMAS, SONORA.                                                     
             14             LA PAZ, LA PAZ, BAJA CALIFORNIA SUR.                                          
             16             MANZANILLO, MANZANILLO, COLIMA.                                               
             17             MATAMOROS, MATAMOROS, TAMAULIPAS.                                             
             18             MAZATLAN, MAZATLAN, SINALOA.                                                  
             19             MEXICALI, MEXICALI, BAJA CALIFORNIA.                                          
             20             MEXICO, DISTRITO FEDERAL.                                                     
             22             NACO, NACO, SONORA.                                                           
             23             NOGALES, NOGALES, SONORA.                                                     
             24             NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.                                       
             25             OJINAGA, OJINAGA, CHIHUAHUA.                                                  
             26             PUERTO PALOMAS, PUERTO PALOMAS, CHIHUAHUA.                                    
             27             PIEDRAS NEGRAS, PIEDRAS NEGRAS, COAHUILA.                                     
             28             PROGRESO, PROGRESO, YUCATAN.                                                  
             30             CIUDAD REYNOSA, CIUDAD REYNOSA, TAMAULIPAS.                                   
             31             SALINA CRUZ, SALINA CRUZ, OAXACA.                                             
             33             SAN LUIS RIO COLORADO, SAN LUIS RIO COLORADO, SONORA.                         
             34             CIUDAD MIGUEL ALEMAN, CIUDAD MIGUEL ALEMAN, TAMAULIPAS.                       
             37             CIUDAD HIDALGO, CIUDAD HIDALGO, CHIAPAS.                                      
             38             TAMPICO, TAMPICO, TAMAULIPAS.                                                 
             39             TECATE, TECATE, BAJA CALIFORNIA.                                              
             40             TIJUANA, TIJUANA, BAJA CALIFORNIA.                                            
             42             TUXPAN, TUXPAN DE RODRIGUEZ CANO, VERACRUZ.                                   
             43             VERACRUZ, VERACRUZ, VERACRUZ.                                                 
             44             CIUDAD ACUÑA, CIUDAD ACUÑA, COAHUILA.                                         
             46             TORREON, TORREON, COAHUILA.                                                   
             47             AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,                              
             48             GUADALAJARA, TLACOMULCO DE ZUÑIGA, JALISCO.                                   
             50             SONOYTA, SONOYTA, SONORA.                                                     
             51             LAZARO CARDENAS, LAZARO CARDENAS, MICHOACAN.                                  
             52             MONTERREY, GENERAL MARIANO ESCOBEDO, NUEVO LEON.                              
             53             CANCUN, CANCUN, QUINTANA ROO.                                                 
             64             QUERÉTARO, EL MARQUÉS Y COLON, QUERÉTARO.                                     
             65             TOLUCA, TOLUCA, ESTADO DE MEXICO.                                             
             67             CHIHUAHUA, CHIHUAHUA, CHIHUAHUA.                                              
             73             AGUASCALIENTES, AGUASCALIENTES, AGUASCALIENTES.                               
             75             PUEBLA, HEROICA PUEBLA DE ZARAGOZA, PUEBLA.                                   
             80             COLOMBIA, COLOMBIA, NUEVO LEON.                                               
             81             ALTAMIRA, ALTAMIRA, TAMAULIPAS.                                               
             82             CIUDAD CAMARGO, CIUDAD CAMARGO, TAMAULIPAS.                                   
             83             DOS BOCAS, PARAISO, TABASCO.                                                  
             84             GUANAJUATO, SILAO, GUANAJUATO.                                                
