                                                                                                                                                                                                                                                                       
Catálogo de unidades de medi                                                                                                                                                                                                                                           
          Versión                        Revisión                                                                                                                                                                                                                      
            2.0                              0                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                       
       c_ClaveUnidad                      Nombre                              Descripción                                               Nota                                       Fecha de inicio de vigencia                    Fecha de fin de vigencia                              Símbolo                 
             18             Tambor de cincuenta y cinco galones                                         Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             19             Camión cisterna                                                             Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             26             Tonelada real                                                               Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             29             Libra por mil pies cuadrados                                                Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                                  Lb / kft²                
             30             Día de potencia de caballos por ton                                         Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             31             Pescar                                                                      Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             32             Kilogramo por tonelada métrica seca                                         Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             36             Pie cúbico por minuto por pie cuadrSe requiere factor de conversión         Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                              Ft³ / (min / ft²)            
             44             Bolsa a granel de quinientos kilos                                          Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             45             Bolsa a granel de trescientos kilos                                         Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             46             Bolsa a granel de cincuenta libras                                          Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             47             Bolso de cincuenta libras                                                   Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             48             Carga masiva                                                                Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             53             Kilogramo teórico                                                           Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             54             Tonelada teórica (UK)                                                       Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             62             Por ciento por 1000 horas                                                   Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             63             Tasa de fracaso en el tiempo                                                Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             64             Libra por pulgada cuadrada, calíbre                                         Unidades no recomendadas para su uso por la Oficina Internacional de                7/26/2017                                                                  
             66             Oersted                                                                     Unidades no recomendadas para su uso por la Oficina Internacional de                7/26/2017                                                                                     Oe                    
             69             Escala específica de prueba                                                 Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
