Catálogo de cód                          
Fecha inicio deFecha fin de    Versión     Revisión  
   3/27/2017                     2.0     
                                         
c_CodigoPostal   c_Estado    c_Municipio c_Localidad 
     51898          MEX                  
     51899          MEX                  
     51900          MEX          040     
     51901          MEX                  
     51902          MEX                  
     51903          MEX                  
     51904          MEX          040     
     51905          MEX          040     
     51906          MEX          040     
     51907          MEX          040     
     51908          MEX                  
     51909          MEX                  
     51910          MEX          040     
     51911          MEX                  
     51912          MEX                  
     51913          MEX                  
     51914          MEX                  
     51915          MEX          040     
     51916          MEX          040     
     51917          MEX          040     
     51918          MEX                  
     51919          MEX                  
     51920          MEX          040     
     51921          MEX                  
     51922          MEX                  
     51923          MEX          040     
     51924          MEX          040     
     51925          MEX                  
     51926          MEX                  
     51927          MEX                  
     51928          MEX                  
     51929          MEX                  
     51930          MEX          040     
     51931          MEX                  
     51932          MEX                  
     51933          MEX          040     
     51934          MEX                  
     51935          MEX                  
     51936          MEX          040     
     51937          MEX          040     
     51938          MEX                  
     51939          MEX                  
     51940          MEX                  
     51941          MEX                  
     51942          MEX                  
     51943          MEX                  
     51944          MEX                  
     51945          MEX                  
     51946          MEX                  
     51947          MEX                  
     51948          MEX                  
     51949          MEX                  
     51950          MEX          107     
     51951          MEX                  
     51952          MEX                  
     51953          MEX          107     
     51954          MEX          107     
     51955          MEX          107     
     51956          MEX          107     
     51957          MEX                  
     51958          MEX                  
     51959          MEX          107     
     51960          MEX          107     
     51961          MEX                  
     51962          MEX                  
     51963          MEX          107     
     51964          MEX          107     
     51965          MEX                  
     51966          MEX                  
     51967          MEX                  
     51968          MEX                  
     51969          MEX                  
     51970          MEX          107     
     51971          MEX                  
     51972          MEX                  
     51973          MEX          107     
     51974          MEX          107     
     51975          MEX          107     
     51976          MEX          107     
     51977          MEX          107     
     51978          MEX                  
     51979          MEX                  
     51980          MEX          119     
     51981          MEX                  
     51982          MEX                  
     51983          MEX                  
     51984          MEX          119     
     51985          MEX          119     
     51986          MEX          119     
     51987          MEX          119     
     51988          MEX          119     
     51989          MEX          119     
     51990          MEX          119     
     51991          MEX                  
     51992          MEX                  
     51993          MEX                  
     51994          MEX          119     
     51995          MEX          119     
     51996          MEX          119     
     51997          MEX          119     
     51998          MEX                  
     51999          MEX                  
     52000          MEX          051     
     52001          MEX                  
     52002          MEX                  
     52003          MEX                  
     52004          MEX          051     
     52005          MEX          051     
     52006          MEX          051     
     52007          MEX                  
     52008          MEX                  
     52009          MEX                  
     52010          MEX          051     
     52011          MEX                  
     52012          MEX                  
     52013          MEX                  
     52014          MEX                  
     52015          MEX                  
     52016          MEX                  
     52017          MEX                  
     52018          MEX                  
     52019          MEX                  
     52020          MEX          051     
     52021          MEX                  
     52022          MEX                  
     52023          MEX                  
     52024          MEX                  
     52025          MEX                  
     52026          MEX                  
