Catálogo de números de pe                                                                  
         Versión                Revisión                                                   
           1.0                     1                                                       
                                                                                           
        c_Aduana                Patente         Ejercicio        Cantidad       Fecha iniciFecha fin d
           43                     247             2008            000011         1/1/2017  
           44                     273             2007            004447         1/1/2017  
           44                     273             2008            003556         1/1/2017  
           44                     273             2009            004506         1/1/2017  
           44                     273             2010            004413         1/1/2017  
           44                     273             2011            004380         1/1/2017  
           43                     323             2007            000033         1/1/2017  
           43                     323             2008            000047         1/1/2017  
           43                     323             2009            000048         1/1/2017  
           43                     323             2010            000065         1/1/2017  
           43                     323             2011            000125         1/1/2017  
           43                     323             2012            000212         1/1/2017  
           43                     323             2013            000388         1/1/2017  
           43                     323             2014            000291         1/1/2017  
           43                     323             2015            500673         1/1/2017  
           43                     323             2016            600492         1/1/2017  
           43                     323             2017            999999         4/28/2017 
           47                     327             2007            003236         1/1/2017  
           47                     327             2008            004114         1/1/2017  
           47                     327             2009            000411         1/1/2017  
           47                     327             2010            001545         1/1/2017  
           47                     327             2011            006123         1/1/2017  
           47                     327             2012            008583         1/1/2017  
           47                     327             2013            300093         1/1/2017  
           30                     334             2007            010324         1/1/2017  
           30                     334             2008            004664         1/1/2017  
           28                     348             2007            005221         1/1/2017  
           28                     348             2008            004000         1/1/2017  
           28                     348             2009            004076         1/1/2017  
           28                     348             2010            002527         1/1/2017  
           28                     348             2011            004226         1/1/2017  
           28                     348             2012            002301         1/1/2017  
           28                     348             2013            001598         1/1/2017  
           28                     348             2014            001526         1/1/2017  
           28                     348             2015            001446         1/1/2017  
           28                     348             2016            001005         1/1/2017  
           28                     348             2017            999999         4/28/2017 
           43                     361             2007            000406         1/1/2017  
           24                     407             2007            002966         1/1/2017  
           24                     407             2008            003797         1/1/2017  
           24                     407             2009            004104         1/1/2017  
           24                     407             2010            004531         1/1/2017  
           24                     407             2011            005133         1/1/2017  
           24                     407             2012            004669         1/1/2017  
           24                     407             2013            003986         1/1/2017  
           24                     407             2014            004866         1/1/2017  
           24                     407             2015            004356         1/1/2017  
           24                     407             2016            003770         1/1/2017  
           24                     407             2017            999999         4/28/2017 
           30                     419             2007            007234         1/1/2017  
           30                     419             2008            111111         1/1/2017  
           30                     419             2009            080051         1/1/2017  
           30                     419             2010            000950         1/1/2017  
           30                     419             2011            001035         1/1/2017  
           07                     428             2007            023105         1/1/2017  
           07                     428             2008            018279         1/1/2017  
           07                     428             2009            009838         1/1/2017  
           07                     428             2010            009785         1/1/2017  
           07                     428             2011            008712         1/1/2017  
           07                     428             2012            000958         1/1/2017  
           19                     441             2007            005234         1/1/2017  
           19                     441             2008            004701         1/1/2017  
           19                     441             2009            003941         1/1/2017  
           19                     441             2010            003323         1/1/2017  
           23                     457             2007            064635         1/1/2017  
           23                     457             2008            080207         1/1/2017  
           23                     457             2009            903290         1/1/2017  
           23                     457             2010            053638         1/1/2017  
           23                     457             2011            905577         1/1/2017  
           23                     457             2012            082538         1/1/2017  
           23                     457             2013            018412         1/1/2017  
           19                     467             2007            000324         1/1/2017  
           43                     472             2007            225920         1/1/2017  
           43                     472             2008            007914         1/1/2017  
           43                     472             2009            008542         1/1/2017  
           43                     472             2010            009955         1/1/2017  
           43                     472             2011            008672         1/1/2017  
           43                     472             2012            008141         1/1/2017  
           43                     472             2013            009268         1/1/2017  
           43                     472             2014            006897         1/1/2017  
           43                     472             2015            006158         1/1/2017  
           43                     472             2016            006142         1/1/2017  
           43                     472             2017            999999         4/28/2017 
           17                     487             2007            766607         1/1/2017  
           17                     487             2008            899903         1/1/2017  
           17                     487             2009            999325         1/1/2017  
           17                     487             2010            001347         1/1/2017  
           17                     487             2011            001438         1/1/2017  
           17                     487             2012            001501         1/1/2017  
           17                     487             2013            001511         1/1/2017  
           17                     487             2014            001526         1/1/2017  
           17                     487             2015            001328         1/1/2017  
           17                     487             2016            001096         1/1/2017  
           17                     487             2017            999999         4/28/2017 
           11                     491             2007            000585         1/1/2017  
           11                     491             2008            000752         1/1/2017  
           11                     491             2009            099988         1/1/2017  
           11                     491             2010            000502         1/1/2017  
           11                     491             2011            002919         1/1/2017  
           11                     491             2012            001203         1/1/2017  
           11                     491             2013            000898         1/1/2017  
           11                     491             2014            000903         1/1/2017  
           11                     491             2015            001092         1/1/2017  
           11                     491             2016            001174         1/1/2017  
           11                     491             2017            999999         4/28/2017 
           43                     500             2007            000179         1/1/2017  
           43                     500             2008            000220         1/1/2017  
           43                     500             2009            000197         1/1/2017  
           43                     500             2010            000263         1/1/2017  
           43                     500             2011            000218         1/1/2017  
           43                     500             2012            000238         1/1/2017  
           43                     500             2013            000082         1/1/2017  
           43                     500             2014            000092         1/1/2017  
           43                     500             2015            000195         1/1/2017  
           43                     504             2007            001215         1/1/2017  
           43                     504             2008            001071         1/1/2017  
           43                     504             2009            000769         1/1/2017  
           43                     504             2010            000699         1/1/2017  
           17                     512             2017            999999         4/28/2017 
           37                     512             2009            000007         1/1/2017  
           37                     512             2010            000469         1/1/2017  
           37                     512             2011            100004         1/1/2017  
           37                     512             2012            000660         1/1/2017  
           37                     512             2013            000931         1/1/2017  
           37                     512             2014            001159         1/1/2017  
           37                     512             2015            001999         1/1/2017  
           37                     512             2016            003469         1/1/2017  
           37                     512             2017            999999         4/28/2017 
           25                     524             2007            009000         1/1/2017  
           25                     524             2008            008375         1/1/2017  
           25                     524             2009            003549         1/1/2017  
           25                     524             2010            003960         1/1/2017  
           25                     524             2011            003932         1/1/2017  
           25                     524             2012            003191         1/1/2017  
           25                     524             2013            004096         1/1/2017  
           25                     524             2014            005788         1/1/2017  
           25                     524             2015            002519         1/1/2017  
           25                     524             2016            001321         1/1/2017  
           25                     524             2017            999999         4/28/2017 
