Catálogo de uso de comprob                                                                                                              
         Versión                                    Revisión                                                                            
           1.0                                          1                                                                               
                                                                                                                                        
        c_UsoCFDI                                  Descripción                         Aplica para tipo                Fecha inicio de vFecha fin de vige
                                                                                            Física          Moral                       
           G01            Adquisición de mercancias                                           Sí              Sí           1/1/2017     
           G02            Devoluciones, descuentos o bonificaciones                           Sí              Sí           1/1/2017     
           G03            Gastos en general                                                   Sí              Sí           1/1/2017     
           I01            Construcciones                                                      Sí              Sí           1/1/2017     
           I02            Mobilario y equipo de oficina por inversiones                       Sí              Sí           1/1/2017     
           I03            Equipo de transporte                                                Sí              Sí           1/1/2017     
           I04            Equipo de computo y accesorios                                      Sí              Sí           1/1/2017     
           I05            Dados, troqueles, moldes, matrices y herramental                    Sí              Sí           1/1/2017     
           I06            Comunicaciones telefónicas                                          Sí              Sí           1/1/2017     
           I07            Comunicaciones satelitales                                          Sí              Sí           1/1/2017     
           I08            Otra maquinaria y equipo                                            Sí              Sí           1/1/2017     
           D01            Honorarios médicos, dentales y gastos hospitalarios.                Sí              No           1/1/2017     
           D02            Gastos médicos por incapacidad o discapacidad                       Sí              No           1/1/2017     
           D03            Gastos funerales.                                                   Sí              No           1/1/2017     
           D04            Donativos.                                                          Sí              No           1/1/2017     
           D05            Intereses reales efectivamente pagados por créditos hipotecar       Sí              No           1/1/2017     
           D06            Aportaciones voluntarias al SAR.                                    Sí              No           1/1/2017     
           D07            Primas por seguros de gastos médicos.                               Sí              No           1/1/2017     
           D08            Gastos de transportación escolar obligatoria.                       Sí              No           1/1/2017     
           D09            Depósitos en cuentas para el ahorro, primas que tengan como b       Sí              No           1/1/2017     
           D10            Pagos por servicios educativos (colegiaturas)                       Sí              No           1/1/2017     
           P01            Por definir                                                         Sí              Sí           3/31/2017    
